time,open,high,low,close,volume
1757440440,4288.61,4288.61,4288.61,4288.61,0.0
1757440500,4288.61,4288.61,4288.61,4288.61,0.0
1757440560,4288.61,4288.61,4288.61,4288.61,0.0
1757440620,4286.88,4286.88,4286.88,4286.88,0.0026
1757440680,4286.88,4286.88,4286.88,4286.88,0.0
1757440740,4286.88,4286.88,4286.88,4286.88,0.0
1757440800,4286.88,4286.88,4286.88,4286.88,0.0
1757440860,4286.88,4286.88,4286.88,4286.88,0.0
1757440920,4286.88,4286.88,4286.88,4286.88,0.0
1757440980,4286.88,4286.88,4286.88,4286.88,0.0
1757441040,4286.88,4286.88,4286.88,4286.88,0.0
1757441100,4286.88,4286.88,4286.88,4286.88,0.0
1757441160,4286.88,4286.88,4286.88,4286.88,0.0
1757441220,4290.5,4290.5,4290.5,4290.5,0.0006
1757441280,4285.51,4285.51,4285.51,4285.51,0.0067
1757441340,4285.51,4285.51,4285.51,4285.51,0.0
1757441400,4286.55,4286.55,4286.54,4286.54,0.0073
1757441460,4286.54,4286.54,4286.54,4286.54,0.0
1757441520,4285.46,4293.99,4283.14,4293.99,0.0512
1757441580,4293.99,4293.99,4293.99,4293.99,0.0
1757441640,4283.13,4283.13,4283.13,4283.13,0.0054
1757441700,4290.7,4290.7,4290.7,4290.7,0.0009
1757441760,4284.9,4290.66,4284.9,4290.66,0.0198
1757441820,4290.62,4290.63,4290.62,4290.63,0.0261
1757441880,4290.63,4290.63,4290.63,4290.63,0.0
1757441940,4290.63,4290.63,4290.63,4290.63,0.0
1757442000,4290.63,4290.63,4290.63,4290.63,0.0
1757442060,4290.63,4290.63,4290.63,4290.63,0.0
1757442120,4290.63,4290.63,4290.63,4290.63,0.0
1757442180,4290.63,4290.63,4290.63,4290.63,0.0
1757442240,4290.63,4290.63,4290.63,4290.63,0.0
1757442300,4290.63,4290.63,4290.63,4290.63,0.0
1757442360,4290.63,4290.63,4290.63,4290.63,0.0
1757442420,4290.63,4290.63,4290.63,4290.63,0.0
1757442480,4290.63,4290.63,4290.63,4290.63,0.0
1757442540,4290.63,4290.63,4290.63,4290.63,0.0
1757442600,4290.63,4290.63,4290.63,4290.63,0.0
1757442660,4290.75,4290.75,4290.75,4290.75,0.0108
1757442720,4290.75,4290.75,4290.75,4290.75,0.0
1757442780,4290.75,4290.75,4290.75,4290.75,0.0
1757442840,4290.75,4290.75,4290.75,4290.75,0.0
1757442900,4290.75,4290.75,4290.75,4290.75,0.0
1757442960,4290.75,4290.75,4290.75,4290.75,0.0
1757443020,4284.13,4284.13,4284.13,4284.13,0.0105
1757443080,4284.02,4284.02,4284.02,4284.02,1.3652
1757443140,4284.02,4284.02,4284.02,4284.02,0.0
1757443200,4284.02,4284.02,4284.02,4284.02,0.0
1757443260,4284.13,4284.13,4284.13,4284.13,0.0475
1757443320,4284.13,4284.13,4284.13,4284.13,0.0
1757443380,4284.13,4284.13,4284.13,4284.13,0.0
1757443440,4284.13,4284.13,4284.13,4284.13,0.0
1757443500,4284.13,4284.13,4284.13,4284.13,0.0
1757443560,4293.3,4293.3,4293.3,4293.3,0.0012
1757443620,4293.3,4293.3,4293.3,4293.3,0.0
1757443680,4293.3,4293.3,4293.3,4293.3,0.0
1757443740,4293.3,4293.3,4293.3,4293.3,0.0
